id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4619263;Cosy apartment with private garden!;3265979;Ingrid;;Zuid;5234812;485819;Entire home/apt;349;4;28;01.05.18;0.51;1;84
4619390;Beautifull designed apartment AMS;23928189;Bram;;Slotervaart;5235222;483132;Entire home/apt;100;3;24;18.03.19;0.46;2;73
4627398; Studio near Jordaan and Vondelpark;23880448;Yulia;;De Baarsjes - Oud-West;5236621;48735;Entire home/apt;120;3;53;06.05.19;0.96;1;196
4630817;Spacious Family house with big garden in Amsterdam;1485021;Barend;;Watergraafsmeer;5235253;493601;Entire home/apt;200;5;7;05.05.19;0.64;1;181
4634719;Lovely modern & cosy apartment;7830766;Hanne;;Oud-Oost;523618;492952;Entire home/apt;110;5;12;16.05.19;0.22;1;0
4634987;Central & Spacious family apartment;12363791;Jonas;;Oud-Noord;5238654;491426;Entire home/apt;159;3;56;28.10.18;01. Jan;1;275
4636051;Nice for 2 or 3 near the city;16274382;Gina;;Oud-Oost;5235709;490716;Private room;100;2;77;01.07.19;Jan/55;3;35
4640869;The one you'll love...clean,quiet cozy & central;23886273;Marielle;;De Baarsjes - Oud-West;523666;487509;Private room;125;5;140;23.06.19;Feb/52;2;27
4641070;Fresh Studio 8 mins from CS;10937669;Giovanni;;Watergraafsmeer;5234115;492129;Private room;83;3;219;01.04.18;Mär 92;1;0
4643339;Cozy apartement in Oud-West;5604808;Raoul;;De Baarsjes - Oud-West;5236788;48646;Entire home/apt;98;2;2;04.01.15;0.04;1;0
4646450;Large and Light Canalview Apartment;21559867;Aya;;De Baarsjes - Oud-West;5236358;487947;Entire home/apt;170;3;16;11.08.17;0.30;1;0
4647436;GREAT apartment in Amsterdam South, close to RAI;2526812;Margot;;De Pijp - Rivierenbuurt;5234308;489395;Entire home/apt;125;2;15;22.04.19;0.56;1;0
4647548;Character Property with Canal Views;24060451;Sasha;;Centrum-West;523676;488113;Entire home/apt;125;3;2;13.01.16;0.05;1;0
4647904;Comfy apartment with great location in De Pijp;21320310;Ken & Kristi;;De Pijp - Rivierenbuurt;5235477;488775;Entire home/apt;185;3;24;14.10.18;0.52;1;0
4648294;Cosy apartment in Amsterdam;24063989;Rienke;;Oud-Oost;523553;491863;Private room;48;3;10;02.06.19;0.18;1;37
4651470;Cosy, typical Amsterdam apartment;8719144;Daniel & Nina;;Oostelijk Havengebied - Indische Buurt;5236173;493306;Entire home/apt;85;2;14;07.08.16;0.25;1;0
4655656;The one you'll love..clean,quiet,cosy& central;23886273;Marielle;;De Baarsjes - Oud-West;5236776;487495;Private room;120;5;177;06.06.19;Mär 16;2;194
4655999;Light filled room in canalside home;3556952;Jo;;Westerpark;5238071;487513;Private room;65;1;42;02.10.16;0.78;2;0
4656443;Comfortable and light apartment;24100581;Jasper;;Zuid;5234851;484736;Entire home/apt;130;4;4;23.04.18;0.07;1;355
